Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,Date Added
"Coronavirus disease (COVID-19) in a paucisymptomatic patient: epidemiological and clinical challenge in settings with limited community transmission, Italy, February 2020","Nicastri, Emanuele; D’Abramo, Alessandra; Faggioni, Giovanni; Santis, Riccardo De; Mariano, Andrea; Lepore, Luciana; Molinari, Filippo; Petralito, Giancarlo; Fillo, Silvia; Munzi, Diego; Corpolongo, Angela; Bordi, Licia; Carletti, Fabrizio; Castiletti, Concetta; Colavita, Francesca; Lalle, Eleonora; Bevilacqua, Nazario; Giancola, Maria Letizia; Scorzolini, Laura; Lanini, Simone; Palazzolo, Claudia; Domenico, Angelo De; Spinelli, Maria Anna; Scognamiglio, Paola; Piredda, Paolo; Iacomino, Raffaele; Mone, Andrea; Puro, Vincenzo; Petrosillo, Nicola; Battistini, Antonio; Vairo, Francesco; Lista, Florigio; Ippolito, Giuseppe; INMI, on behalf of; groups, the Italian Army COVID-19 study",,2020,,Eurosurveillance,25,11,2000230,,doi:https://doi.org/10.2807/1560-7917.ES.2020.25.11.2000230,10188,#10076,Nicastri 2020,,"* Case study/series; Clinical aspects, diagnosis, treatment; Epidemiology",20-03-20
"Evaluation of the Effectiveness of Surveillance and Containment Measures for the First 100 Patients with COVID-19 in Singapore - January 2-February 29, 2020","Ng, Yixiang; Li, Zongbin; Chua, Yi Xian; Chaw, Wei Liang; Zhao, Zheng; Er, Benjamin; Pung, Rachael; Chiew, Calvin J.; Lye, David C.; Heng, Derrick; Lee, Vernon J.","Coronavirus disease 2019 (COVID-19) was first reported in Wuhan, China, in December 2019, and has since spread globally, resulting in >95,000 confirmed COVID-19 cases worldwide by March 5, 2020 (1). Singapore adopted a multipronged surveillance strategy that included applying the case definition at medical consults, tracing contacts of patients with laboratory-confirmed COVID-19, enhancing surveillance among different patient groups (all patients with pneumonia, hospitalized patients in intensive care units [ICUs] with possible infectious diseases, primary care patients with influenza-like illness, and deaths from possible infectious etiologies), and allowing clinician discretion (i.e., option to order a test based on clinical suspicion, even if the case definition was not met) to identify COVID-19 patients. Containment measures, including patient isolation and quarantine, active monitoring of contacts, border controls, and community education and precautions, were performed to minimize disease spread. As of March 5, 2020, a total of 117 COVID-19 cases had been identified in Singapore. This report analyzes the first 100 COVID-19 patients in Singapore to determine the effectiveness of the surveillance and containment measures. COVID-19 patients were classified by the primary means by which they were detected. Application of the case definition and contact tracing identified 73 patients, 16 were detected by enhanced surveillance, and 11 were identified by laboratory testing based on providers' clinical discretion. Effectiveness of these measures was assessed by calculating the 7-day moving average of the interval from symptom onset to isolation in hospital or quarantine, which indicated significant decreasing trends for both local and imported COVID-19 cases. Rapid identification and isolation of cases, quarantine of close contacts, and active monitoring of other contacts have been effective in suppressing expansion of the outbreak and have implications for other countries experiencing outbreaks.",2020,,MMWR. Morbidity and mortality weekly report,69,11,307-311,,10.15585/mmwr.mm6911e1,10217,#10080,Ng 2020,,* Narrative review; Epidemiology; Infection prevention and control,20-03-20
Coronavirus latest: China’s epicentre records zero new cases,Nature,Updates on the respiratory illness that has infected tens of thousands of people and killed several thousand.,2020,,Nature,,,,,10.1038/d41586-020-00154-w,10162,#10084,Nature 2020,,* Opinion piece,20-03-20
Novel coronavirus pneumonia,"Na, Wu; Yi, Zhang; Yong-Sheng, Yu",,2020,,The Brazilian Journal of Infectious Diseases,,,,,https://doi.org/10.1016/j.bjid.2020.03.001,10268,#10086,Na 2020,,"* Case study/series; Clinical aspects, diagnosis, treatment",20-03-20
Coronavirus: the spread of misinformation,"Mian, Areeb; Khan, Shujhat",,2020,,,18,,89-89,,10.1186/s12916-020-01556-3,10260,#10100,Mian 2020,,* Opinion piece,20-03-20
Journal Flexibility in the Troubling Times of COVID-19,"Meyers, Blake C.; Baxter, Ivan R.; Blatt, Mike R.; Sweetlove, Lee J.; Daniell, Henry; Lunn, John E.; Taylor, Crispin; Winchester, Nancy Ann",,2020,,The Plant cell,,,,,10.1105/tpc.20.00223,10250,#10101,Meyers 2020,,* Opinion piece,20-03-20
"COVID-19 in a Long-Term Care Facility — King County, Washington, February 27–March 9, 2020","McMichael TM, Clark S, Pogosjans S, et al. Centers for Disease Control and Prevention (CDC)","What is already known about this topic? Coronavirus disease (COVID-19) can cause severe illness and death, particularly among older adults with chronic health conditions. What is added by this report? Introduction of COVID-19 into a long-term residential care facility in Washington resulted in cases among 81 residents, 34 staff members, and 14 visitors; 23 persons died. Limitations in effective infection control and prevention and staff members working in multiple facilities contributed to intra- and interfacility spread. What are the implications for public health practice? Long-term care facilities should take proactive steps to protect the health of residents and preserve the health care workforce by identifying and excluding potentially infected staff members, restricting visitation except in compassionate care situations, ensuring early recognition of potentially infected patients, and implementing appropriate infection control measures.",2020,,MMWR Morb Mortal Wkly Rep.,,,,,http://dx.doi.org/10.15585/mmwr.mm6912e1,10168,#10103,McMichael 2020,,"* Case study/series; Clinical aspects, diagnosis, treatment",20-03-20
"Correction for Li et al., ""Discovery of Bat Coronaviruses through Surveillance and Probe Capture-Based Next-Generation Sequencing""","Li, Bei; Si, Hao-Rui; Zhu, Yan; Yang, Xing-Lou; Anderson, Danielle E.; Shi, Zheng-Li; Wang, Lin-Fa; Zhou, Peng",,2020,,mSphere,5,2,,,10.1128/mSphere.00170-20,10252,#10112,Li 2020,,,20-03-20
Role of dermatologists in the uprising of the novel corona virus (COVID-19): Perspectives and opportunities,"Lee, Chih-Hung",,2020,,Dermatologica Sinica,38,1,01-Feb,WOS:000518680600001,10.4103/ds.ds_5_20,10724,#10118,Lee 2020,,* Opinion piece,20-03-20
Asian Bioethics Review Enters a New Era,"Laurie, Graeme",,2020,,Asian Bioethics Review,,,01-Mar,,10.1007/s41649-020-00115-5,10273,#10121,Laurie 2020,,"* Opinion piece; Ethics, social science, economics",20-03-20
Working together to contain and manage COVID-19,"Laupacis, Andreas",,2020,,CMAJ : Canadian Medical Association journal = journal de l'Association medicale canadienne,,,,MEDLINE:32184199,10.1503/cmaj.200428,10318,#10122,Laupacis 2020,,* Opinion piece,20-03-20
Occupational risks for COVID-19 infection,"Koh, David",,2020,,"Occupational medicine (Oxford, England)",70,1,03-May,MEDLINE:32107548,10.1093/occmed/kqaa036,10782,#10135,Koh 2020,,"* Opinion piece; Clinical aspects, diagnosis, treatment; Infection prevention and control",20-03-20
2019-nCoV: The Identify-Isolate-Inform (3I) Tool Applied to a Novel Emerging Coronavirus,"Koenig, Kristi L.; Bey, Christian K.; McDonald, Eric C.","2019 Novel Coronavirus (2019-nCoV) is an emerging infectious disease closely related to MERS-CoV and SARS-CoV that was first reported in Wuhan City, Hubei Province, China in December 2019. As of January 2020, cases of 2019-nCoV are continuing to be reported in other Eastern Asian countries as well as in the United States, Europe, Australia, and numerous other countries. An unusually high volume of domestic and international travel corresponding to the beginning of the 2020 Chinese New Year complicated initial identification and containment of infected persons. Due to the rapidly rising number of cases and reported deaths, all countries should be considered at risk of imported 2019-nCoV. Therefore, it is essential for prehospital, clinic, and emergency department personnel to be able to rapidly assess 2019-nCoV risk and take immediate actions if indicated. The Identify-Isolate-Inform (31) Tool, originally conceived for the initial detection and management of Ebola virus and later adjusted for other infectious agents, can be adapted for any emerging infectious disease. This paper reports a modification of the 31 Tool for use in the initial detection and management of patients under investigation for 2019-nCoV. After initial assessment for symptoms and epidemiological risk factors, including travel to affected areas and exposure to confirmed 2019-nCoV patients within 14 days, patients are classified in a risk-stratified system. Upon confirmation of a suspected 2019-nCoV case, affected persons must immediately be placed in airborne infection isolation and the appropriate public health agencies notified. This modified 31 Tool will assist emergency and primary care clinicians, as well as out-of-hospital providers, in effectively managing persons with suspected or confirmed 2019-nCoV.",2020,,Western Journal of Emergency Medicine,21,2,184-190,WOS:000517818500001,10.5811/westjem.2020.1.46760,10653,#10136,Koenig 2020,,"* Narrative review; Clinical aspects, diagnosis, treatment",20-03-20
Recommendations for critically ill patients with COVID-19,"Kluge, Stefan; Janssens, Uwe; Welte, Tobias; Weber-Carstens, Steffen; Marx, Gernot; Karagiannidis, Christian",,2020,,"Medizinische Klinik, Intensivmedizin und Notfallmedizin",,,,MEDLINE:32166350,10.1007/s00063-020-00674-3,10474,#10138,Kluge 2020,,"* Opinion piece; Clinical aspects, diagnosis, treatment",20-03-20
Epidemiologic characteristics of early cases with 2019 novel coronavirus (2019-nCoV) disease in Korea,"Ki, Moran; Task Force for -nCo, V.","In about 20 days since the diagnosis of the first case of the 2019 novel coronavirus (2019-nCoV) in Korea on January 20, 2020, 28 cases have been confirmed. Fifteen patients (53.6%) of them were male and median age of was 42 years (range, 20-73). Of the confirmed cases, 16, 9, and 3 were index (57.2%), first-generation (32.1%), and second-generation (10.7%) cases, respectively. All first-generation and second-generation patients were family members or intimate acquaintances of the index cases with close contacts. Fifteen among 16 index patients had entered Korea from January 19 to 24, 2020 while 1 patient had entered Korea on January 31, 2020. The average incubation period was 3.9 days (median, 3.0), and the reproduction number was estimated as 0.48. Three of the confirmed patients were asymptomatic when they were diagnosed. Epidemiological indicators will be revised with the availability of additional data in the future. Sharing epidemiological information among researchers worldwide is essential for efficient preparation and response in tackling this new infectious disease.",2020,,Epidemiology and health,42,,e2020007-e2020007,MEDLINE:32035431,10.4178/epih.e2020007,10742,#10145,Ki 2020,,* Case study/series; Epidemiology,20-03-20
Advances in the relationship between coronavirus infection and coagulation function,"Zou, Hai; Xiong, Wan-Feng",,2020,,Chinese Medical Journal,Publish Ahead of Print,,,00029330-900000000-99322,10.1097/cm9.0000000000000821,10809,#10149,Zou 2020,,"* Narrative review; Clinical aspects, diagnosis, treatment",20-03-20
"Coronavirus Infections in Children Including COVID-19: An Overview of the Epidemiology, Clinical Features, Diagnosis, Treatment and Prevention Options in Children","Zimmermann, Petra; Curtis, Nigel","Coronaviruses (CoVs) are a large family of enveloped, single-stranded, zoonotic RNA viruses. Four CoVs commonly circulate among humans: HCoV2-229E, -HKU1, -NL63 and -OC43. However, CoVs can rapidly mutate and recombine leading to novel CoVs that can spread from animals to humans. The novel CoVs severe acute respiratory syndrome coronavirus (SARS-CoV) emerged in 2002 and Middle East respiratory syndrome coronavirus (MERS-CoV) in 2012. The 2019 novel coronavirus (SARS-CoV-2) is currently causing a severe outbreak of disease (termed COVID-19) in China and multiple other countries, threatening to cause a global pandemic. In humans, CoVs mostly cause respiratory and gastrointestinal symptoms. Clinical manifestations range from a common cold to more severe disease such as bronchitis, pneumonia, severe acute respiratory distress syndrome, multi-organ failure and even death. SARS-CoV, MERS-CoV and SARS-CoV-2 seem to less commonly affect children and to cause fewer symptoms and less severe disease in this age group compared with adults, and are associated with much lower case-fatality rates. Preliminary evidence suggests children are just as likely as adults to become infected with SARS-CoV-2 but are less likely to be symptomatic or develop severe symptoms. However, the importance of children in transmitting the virus remains uncertain. Children more often have gastrointestinal symptoms compared with adults. Most children with SARS-CoV present with fever, but this is not the case for the other novel CoVs. Many children affected by MERS-CoV are asymptomatic. The majority of children infected by novel CoVs have a documented household contact, often showing symptoms before them. In contrast, adults more often have a nosocomial exposure. In this review, we summarize epidemiologic, clinical and diagnostic findings, as well as treatment and prevention options for common circulating and novel CoVs infections in humans with a focus on infections in children. Accepted for publication March 3, 2020. P.Z. is supported by a Fellowship from the European Society for Paediatric Infectious Diseases. The authors have no conflicts of interest to disclose. P.Z. drafted the initial article. N.C. critically revised the article and both authors approved the final article as submitted. Address for correspondence: Petra Zimmermann, MD, PhD, Faculty of Science and Medicine, University of Fribourg, Route des Arsenaux 41, 1700 Fribourg, Switzerland. E-mail: petra.zimmermann@unifr.ch. Copyright © 2020 Wolters Kluwer Health, Inc. All rights reserved.",2020,,The Pediatric Infectious Disease Journal,Online First,,,00006454-900000000-96251,10.1097/inf.0000000000002660,10791,#10150,Zimmermann 2020,,"* Narrative review; Clinical aspects, diagnosis, treatment",20-03-20
"A plunge in the number of traumatic traffic injuries in an emergency Center in Anhui Province, China","Zhu, Wanbo; Yang, Jiazhao; Xu, Lei; Fang, Shiyuan",,2020,,The American Journal of Emergency Medicine,,,,,https://doi.org/10.1016/j.ajem.2020.03.027,10264,#10152,Zhu 2020,,"* Opinion piece; Ethics, social science, economics",20-03-20
Prevention and Treatment of Skin Damage Caused by Personal Protective Equipment: Experience of the First-Line Clinicians Treating 2019-nCoV Infection,"Zhou, Nuo-Ya; Yang, Liu; Dong, Li-Yun; Li, Yan; An, Xiang-Jie; Yang, Jing; Huang, Chang-Zheng; Tao, Juan",,2020,,International Journal of Dermatology and Venereology,Latest Articles,,,02123148-900000000-99938,10.1097/jd9.0000000000000085,10815,#10162,Zhou 2020,,"* Narrative review; Clinical aspects, diagnosis, treatment",20-03-20
Challenges for Obstetricians and the Countermeasures of COVID-19 Epidemic,"Zhao, Yin; Zou, Li; Dong, Ming-Hui; Liu, Xiao-Xia; Liu, Ya-Lan; Zhu, Jian-Wen; Luo, Qing-Qing; Gao, Hui","Since the outbreak of the novel coronavirus in Wuhan, China, as obstetricians, we also face great challenges. We need to identify pregnant patients with 2019 coronavirus disease infection timely, and give them appropriate treatment in order to obtain a good maternal and infant prognosis. Here, we would like to share a case and provide some suggestions on how to screen, diagnose and treat pregnant women with 2019 coronavirus disease infection during the outbreak. Corresponding author: Prof. Li Zou, Department of Obstetrics and Gynecology, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan 430022, China. E-mail: xiehezouli@hust.edu.cn Received February 10, 2020 This is an open access article distributed under the terms of the Creative Commons Attribution-Non Commercial-No Derivatives License 4.0 (CCBY-NC-ND), where it is permissible to download and share the work provided it is properly cited. The work cannot be changed in any way or used commercially without permission from the journal. http://creativecommons.org/licenses/by-nc-nd/4.0 © 2020 by Lippincott Williams & Wilkins, Inc.",2020,,Maternal-Fetal Medicine,Latest Articles,,,02123147-900000000-99971,10.1097/fm9.0000000000000046,10792,#10171,Zhao 2020,,"* Opinion piece; Clinical aspects, diagnosis, treatment",20-03-20
Anesthetic Management of Patients With Suspected or Confirmed 2019 Novel Coronavirus Infection During Emergency Procedures,"Zhao, Shuai; Ling, Ken; Yan, Hong; Zhong, Liang; Peng, Xiaohong; Yao, Shanglong; Huang, Jiapeng; Chen, Xiangdong","OBJECTIVES: The aim of the present study was to prevent cross-infection in the operating room during emergency procedures for patients with confirmed or suspected 2019 novel coronavirus (2019-nCoV) by following anesthesia management protocols, and to document clinical- and anesthesia-related characteristics of these patients. DESIGN: This was a retrospective, multicenter clinical study. SETTING: This study used a multicenter dataset from 4 hospitals in Wuhan, China. PARTICIPANTS: Patients and health care providers with confirmed or suspected 2019-nCoV from January 23 to 31, 2020, at the Wuhan Union Hospital, the Wuhan Children's Hospital, The Central Hospital of Wuhan, and the Wuhan Fourth Hospital in Wuhan, China. INTERVENTIONS: Anesthetic management and infection control guidelines for emergency procedures for patients with suspected 2019-nCoV were drafted and applied in 4 hospitals in Wuhan. MEASUREMENTS AND MAIN RESULTS: Cross-infection in the operating rooms of the 4 hospitals was effectively reduced by implementing the new measures and procedures. The majority of patients with laboratory-confirmed 2019-nCoV infection or suspected infection were female (23 [62%] of 37), and the mean age was 41.0 years old (standard deviation 19.6; range 4-78). 10 (27%) patients had chronic medical illnesses, including 4 (11%) with diabetes, 8 (22%) with hypertension, and 8 (22%) with digestive system disease. Twenty-five (68%) patients presented with lymphopenia, and 23 (62%) patients exhibited multiple mottling and ground-glass opacity on computed tomography scanning. CONCLUSIONS: The present study indicates that COVID 19-specific guidelines for emergency procedures for patients with confirmed or suspected 2019-nCoV may effectively prevent cross-infection in the operating room. Most patients with confirmed or suspected COVID 19 presented with fever and dry cough and demonstrated bilateral multiple mottling and ground-glass opacity on chest computed tomography scans.",2020,,Journal of cardiothoracic and vascular anesthesia,,,,MEDLINE:32178954,10.1053/j.jvca.2020.02.039,10669,#10173,Zhao 2020,,"* Case study/series; Clinical aspects, diagnosis, treatment",20-03-20
Prediction of fatal adverse prognosis in patients with fever-related diseases based on machine learning: A retrospective study,"Zhao, Chun-Hong; Wu, Hui-Tao; Che, He-Bin; Song, Ya-Nan; Zhao, Yu-Zhuo; Li, Kai-Yuan; Xiao, Hong-Ju; Zhai, Yong-Zhi; Liu, Xin; Lu, Hong-Xi; Li, Tan-Shi","Background Fever is the most common chief complaint of emergency patients. Early identification of patients at an increasing risk of death may avert adverse outcomes. The aim of this study was to establish an early prediction model of fatal adverse prognosis of fever patients by extracting key indicators using big data technology. Methods A retrospective study of patients’ data was conducted using the Emergency Rescue Database of Chinese People's Liberation Army General Hospital. Patients were divided into the fatal adverse prognosis group and the good prognosis group. The commonly used clinical indicators were compared. Recursive feature elimination (RFE) method was used to determine the optimal number of the included variables. In the training model, logistic regression, random forest, adaboost and bagging were selected. We also collected the emergency room data from December 2018 to December 2019 with the same inclusion and exclusion criterion. The performance of the model was evaluated by accuracy, F1-score, precision, sensitivity and the areas under receiver operator characteristic curves (ROC-AUC). Results The accuracy of logistic regression, decision tree, adaboost and bagging was 0.951, 0.928, 0.924, and 0.924, F1-scores were 0.938, 0.933, 0.930, and 0.930, the precision was 0.943, 0.938, 0.937, and 0.937, ROC-AUC were 0.808, 0.738, 0.736, and 0.885, respectively. ROC-AUC of ten-fold cross-validation in logistic and bagging models were 0.80 and 0.87, respectively. The top six coefficients and odds ratio (OR) values of the variables in the Logistic regression were cardiac troponin T (CTnT) (coefficient=0.346, OR = 1.413), temperature (T) (coefficient=0.235, OR = 1.265), respiratory rate (RR) (coefficient= –0.206,OR = 0.814), serum kalium (K) (coefficient=0.137, OR = 1.146), pulse oxygen saturation (SPO2) (coefficient= –0.101, OR = 0.904), and albumin (ALB) (coefficient= –0.043, OR = 0.958). The weights of the top six variables in the bagging model were: CTnT, RR, lactate dehydrogenase, serum amylase, heartrate, and systolic blood pressure. Conclusions The main clinical indicators of concern included CTnT, RR, SPO2, T, ALB and K. The bagging model and logistic regression model had better diagnostic performance comprehesively. Those may be conducive to the early identification of critical patients with fever by physicians.",2020,,Chinese Medical Journal,133,5,583-589,00029330-202003050-00012,10.1097/cm9.0000000000000675,10830,#10177,Zhao 2020,,"* Comparative study, RCT; Clinical aspects, diagnosis, treatment",20-03-20
A Promising Anti-Cytokine-Storm Targeted Therapy for COVID-19: The Artificial-Liver Blood-Purification System,"Zhang, Yimin; Yu, Liang; Tang, LingLing; Zhu, Mengfei; Jin, Yanqi; Wang, Zhouhan; Li, Lanjuan",,2020,,Engineering,,,,,https://doi.org/10.1016/j.eng.2020.03.006,10271,#10178,Zhang 2020,,"* Narrative review; Clinical aspects, diagnosis, treatment",20-03-20
CT image of novel coronavirus pneumonia: a case report,"Zhang, Xiangmin; Song, Wei; Liu, Xingli; Lyu, Liang","OBJECTIVE: Knowledge of CT characteristics of COVID-19 pneumonia might be helpful to the early diagnosis and treatment of patients, and to control the spread of infection. METHODS: The chest CT images of the patient were collected to describe the CT manifestations and characteristics, and they were compared with the previous studies. RESULTS: Multiple patchy ground-glass opacities (GGOs) were seen in bilateral lung, mostly in subpleural areas. They progressed within 3 days, and nodular GGOs were also seen together with subpleural patchy GGOs. CONCLUSION: Our case of COVID-19 pneumonia showed multiple subpleural GGOs in bilateral lung, rapid progression, and it also accompanied nodular GGOs on chest CT. These findings were consistent with the previous reports, and they might be useful for early detection and evaluation of severity of COVID-19 pneumonia.",2020,,Japanese journal of radiology,,,,,10.1007/s11604-020-00945-1,10243,#10180,Zhang 2020,,"* Case study/series; Clinical aspects, diagnosis, treatment",20-03-20
Consensus on pre-examination and triage in clinic of dermatology during outbreak of COVID-19 from Chinese experts,"Zhang, Hui; Long, Hai; Ma, Lin; Wang, Gang; Mu, Qi-Ri; Ran, Yu-Ping; Liu, Quan-Zhong; Xiao, Sheng-Xiang; Zhang, Xue-Jun; Zhang, Jian-Zhong; Zhang, Fu-Ren; He, Li; Chen, Ai-Jun; Chen, Xiang; Zheng, Jie; Yang, Rong-Ya; Yao, Zhi-Rong; Tu, Ping; Li, Yu-Zhen; Gao, Xing-Hua; Xu, Jin-Hua; Gu, Heng; Cheng, Bo; Lai, Wei; Lu, Qian-Jin","The 2019 novel coronavirus infection has brought a great challenge in prevention and control of the national epidemic of COVID-19 in China. During the fight against the epidemic of COVID-19, properly carrying out pre-examination and triage for patients with skin lesions and fever has been a practical problem encountered in hospitals for skin diseases as well as clinics of dermatology in general hospitals. Considering that certain skin diseases may have symptom of fever, and some of the carriers of 2019 novel coronavirus and patients with COVID-19 at their early stage may do not present any symptoms of COVID-19, to properly deal with the visitors to clinics of dermatology, the Chinese Society of Dermatology organized experts to formulate the principles and procedures for pre-examination and triage of visitors to clinics of dermatology during the epidemic of COVID-19. Corresponding authors: Dr. Qian-Jin Lu, Department of Dermatology, The Second Xiangya Hospital, Central South University, Changsha, Hunan 410011, China. E-mail: qianlu5860@csu.edu.cn; Dr. Zhi-Rong Yao, Department of Dermatology, Xinhua Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai 200092, China. E-mail: dermatology.yao@sohu.com. Received 2 March, 2020 Conflicts of interest: The authors reported no conflicts of interest. #The Chinese version of this has been published on Chinese Journal of Dermatology, 2020,53(3):165-167. doi: 10.35541/cjd.20200119. This is an open access article distributed under the terms of the Creative Commons Attribution-Non Commercial-No Derivatives License 4.0 (CCBY-NC-ND), where it is permissible to download and share the work provided it is properly cited. The work cannot be changed in any way or used commercially without permission from the journal. http://creativecommons.org/licenses/by-nc-nd/4.0 © 2020 by Lippincott Williams & Wilkins, Inc.",2020,,International Journal of Dermatology and Venereology,Latest Articles,,,02123148-900000000-99937,10.1097/jd9.0000000000000084,10801,#10190,Zhang 2020,,"* Narrative review; Clinical aspects, diagnosis, treatment",20-03-20
"Association of radiologic findings with mortality of patients infected with 2019 novel coronavirus in Wuhan, China","Yuan, Mingli; Yin, Wen; Tao, Zhaowu; Tan, Weijun; Hu, Yi","Radiologic characteristics of 2019 novel coronavirus (2019-nCoV) infected pneumonia (NCIP) which had not been fully understood are especially important for diagnosing and predicting prognosis. We retrospective studied 27 consecutive patients who were confirmed NCIP, the clinical characteristics and CT image findings were collected, and the association of radiologic findings with mortality of patients was evaluated. 27 patients included 12 men and 15 women, with median age of 60 years (IQR 47–69). 17 patients discharged in recovered condition and 10 patients died in hospital. The median age of mortality group was higher compared to survival group (68 (IQR 63–73) vs 55 (IQR 35–60), P = 0.003). The comorbidity rate in mortality group was significantly higher than in survival group (80% vs 29%, P = 0.018). The predominant CT characteristics consisted of ground glass opacity (67%), bilateral sides involved (86%), both peripheral and central distribution (74%), and lower zone involvement (96%). The median CT score of mortality group was higher compared to survival group (30 (IQR 7–13) vs 12 (IQR 11–43), P = 0.021), with more frequency of consolidation (40% vs 6%, P = 0.047) and air bronchogram (60% vs 12%, P = 0.025). An optimal cutoff value of a CT score of 24.5 had a sensitivity of 85.6% and a specificity of 84.5% for the prediction of mortality. 2019-nCoV was more likely to infect elderly people with chronic comorbidities. CT findings of NCIP were featured by predominant ground glass opacities mixed with consolidations, mainly peripheral or combined peripheral and central distributions, bilateral and lower lung zones being mostly involved. A simple CT scoring method was capable to predict mortality.",2020,,PLOS ONE,15,3,e0230548-e0230548,,10.1371/journal.pone.0230548,10210,#10200,Yuan 2020,,"* Case study/series; Clinical aspects, diagnosis, treatment",20-03-20
Chest CT manifestations of new coronavirus disease 2019 (COVID-19): a pictorial review,"Ye, Zheng; Zhang, Yun; Wang, Yi; Huang, Zixiang; Song, Bin","Coronavirus disease 2019 (COVID-19) outbreak, first reported in Wuhan, China, has rapidly swept around the world just within a month, causing global public health emergency. In diagnosis, chest computed tomography (CT) manifestations can supplement parts of limitations of real-time reverse transcription polymerase chain reaction (RT-PCR) assay. Based on a comprehensive literature review and the experience in the frontline, we aim to review the typical and relatively atypical CT manifestations with representative COVID-19 cases at our hospital, and hope to strengthen the recognition of these features with radiologists and help them make a quick and accurate diagnosis. Key Points • Ground glass opacities, consolidation, reticular pattern, and crazy paving pattern are typical CT manifestations of COVID-19. • Emerging atypical CT manifestations, including airway changes, pleural changes, fibrosis, nodules, etc., were demonstrated in COVID-19 patients. • CT manifestations may associate with the progression and prognosis of COVID-19.",2020,,European Radiology,,,01-Sep,,10.1007/s00330-020-06801-0,10275,#10207,Ye 2020,,"* Narrative review; Clinical aspects, diagnosis, treatment",20-03-20
[ACE2 in the context of 2019-nCoV infection: friend or foe?],"Yang, J. M.; Meng, X.; Xue, F.; Zhang, Y.; Zhang, C.",,2020,,Zhonghua xin xue guan bing za zhi,48,0,E012-E012,,10.3760/cma.j.cn112148-20200303-00149,10239,#10215,Yang 2020,,"* Opinion piece; Clinical aspects, diagnosis, treatment",20-03-20
Challenges and Countermeasures of Integrative Cancer Therapy in the Epidemic of COVID-19,"Yang, Geliang; Zhang, Huiqing; Yang, Yufei",,2020,,Integrative cancer therapies,19,,1534735420912811-1534735420912811,MEDLINE:32178547,10.1177/1534735420912811,10736,#10217,Yang 2020,,"* Opinion piece; Clinical aspects, diagnosis, treatment",20-03-20
Characteristics of pediatric SARS-CoV-2 infection and potential evidence for persistent fecal viral shedding,"Xu, Yi; Li, Xufang; Zhu, Bing; Liang, Huiying; Fang, Chunxiao; Gong, Yu; Guo, Qiaozhi; Sun, Xin; Zhao, Danyang; Shen, Jun; Zhang, Huayan; Liu, Hongsheng; Xia, Huimin; Tang, Jinling; Zhang, Kang; Gong, Sitang","We report epidemiological and clinical investigations on ten pediatric SARS-CoV-2 infection cases confirmed by real-time reverse transcription PCR assay of SARS-CoV-2 RNA. Symptoms in these cases were nonspecific and no children required respiratory support or intensive care. Chest X-rays lacked definite signs of pneumonia, a defining feature of the infection in adult cases. Notably, eight children persistently tested positive on rectal swabs even after nasopharyngeal testing was negative, raising the possibility of fecal-oral transmission. Children infected with the COVID-19 outbreak coronavirus, SARS-CoV-2, show mild symptoms but prolonged shedding of viral RNA in feces, suggesting that the fecal-oral route might play a role in virus transmission.",2020,,Nature Medicine,,,,WOS:000519422600001,10.1038/s41591-020-0817-4,10401,#10221,Xu 2020,,"* Case study/series; Clinical aspects, diagnosis, treatment",20-03-20
SARS-CoV-2: an unknown agent and challenges in vaccine development,"Xu, Jianqing",,2020,,Journal of Bio-X Research,Latest Articles,,,02070904-900000000-99951,10.1097/jbr.0000000000000063,10811,#10224,Xu 2020,,* Opinion piece; Vaccines,20-03-20
"Is Africa prepared for tackling the COVID-19 (SARS-CoV-2) epidemic. Lessons from past outbreaks, ongoing pan-African public health efforts, and implications for the future","Kapata, Nathan; Ihekweazu, Chikwe; Ntoumi, Francine; Raji, Tajudeen; Chanda-Kapata, Pascalina; Mwaba, Peter; Mukonka, Victor; Bates, Matthew; Tembo, John; Corman, Victor; Mfinanga, Sayoki; Asogun, Danny; Elton, Linzy; Arruda, Lia Barbara; Thomason, Margaret J.; Mboera, Leonard; Yavlinsky, Alexei; Haider, Najmul; Simons, David; Hollmann, Lara; Lule, Swaib A.; Veas, Francisco; Abdel Hamid, Muzamil Mahdi; Dar, Osman; Edwards, Sarah; Vairo, Francesco; McHugh, Timothy D.; Drosten, Christian; Kock, Richard; Ippolito, Giuseppe; Zumla, Alimuddin",,2020,,International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,93,,233-236,MEDLINE:32119980,10.1016/j.ijid.2020.02.049,10668,#10235,Kapata 2020,,"* Narrative review; Clinical aspects, diagnosis, treatment; Epidemiology; Ethics, social science, economics; Infection prevention and control",20-03-20
Recommendation of low-dose CT in the detection and management of COVID-2019,"Kang, Zhen; Li, Xu; Zhou, Shuchang",,2020,,European Radiology,,,01-Feb,,10.1007/s00330-020-06809-6,10276,#10237,Kang 2020,,"* Narrative review; Clinical aspects, diagnosis, treatment",20-03-20
